trial_id,recipe,seed,fit_status,epoch,selected_epoch,early_stop,checkpoint_saved,train_metric_scope,train_samples,valid_supervised_loss,learning_rate,train_seconds,validation_seconds,epoch_seconds,total_elapsed_seconds,train_loss_CE,train_loss_weighted_CE,train_loss_MAE,train_loss_KD,train_loss_total,train_online_Accuracy,train_online_macro_F1,train_online_MAE,train_online_Pearson,train_online_Pearson_reason,clean_valid_Accuracy,clean_valid_macro_F1,clean_valid_MAE,clean_valid_Pearson,clean_valid_Pearson_reason,corruption_rows,corruption_clean_requested,corruption_eligible,corruption_ineligible
M1-s17,M1,17,COMPLETED,1,1,False,True,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,1.0164130926132202,0.001,3.6123548000032315,0.3131487999999081,3.967813000002934,5.7810000000026776,0.8285979706689781,0.8285979706689781,0.6899011775039258,0.0,1.0585650389956445,0.6273932253313697,0.5529498005157989,0.6899011777121703,0.5945139601969707,,0.6510989010989011,0.5922960355608652,0.6320526950159826,0.6530154915920238,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,2,2,False,True,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,1.0130834579467773,0.001,3.37807160000375,0.2924516000057338,3.7152587000018684,9.671999999998661,0.6812522058107716,0.6812522058107716,0.5764011978400825,0.0,0.8733859484255402,0.7033873343151694,0.654627942516855,0.5764011947925385,0.7244018351677602,,0.6456043956043956,0.6018975285071843,0.6055190478743228,0.6494601286237077,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,3,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,1.044785737991333,0.001,3.3569203000006382,0.30123489999823505,3.6770632000043406,13.51600000000326,0.5924800016216396,0.5924800016216396,0.5263017640746745,0.0,0.7679139255950658,0.750220913107511,0.7122178810790015,0.5263017616598539,0.7691710857612485,,0.6277472527472527,0.5832861600732903,0.6079223796139679,0.6587645841904104,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,4,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,1.0987744331359863,0.001,3.330813599997782,0.3296323000031407,3.6783617999972194,17.375,0.4975106500648785,0.4975106500648785,0.48490945132386176,0.0,0.6591471398701899,0.801178203240059,0.772646037300276,0.48490945028911986,0.8031105032791677,,0.6167582417582418,0.5837046939399034,0.5957639320733685,0.6549890734489088,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,5,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,1.3074318170547485,0.001,3.407753199993749,0.2897523999999976,3.7164568999942276,21.235000000000582,0.36988187185399485,0.36988187185399485,0.44720644880640315,0.0,0.5189506933597823,0.8512518409425626,0.8322076437515479,0.4472064479158174,0.8330381064853587,,0.5975274725274725,0.5706752455471888,0.62491037496743,0.620456090188061,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,6,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,1.5462712049484253,0.001,3.3439330000037444,0.2910055000029388,3.6533471000002464,25.06300000000192,0.2602769843520753,0.2602769843520753,0.413209332949283,0.0,0.3980134334409711,0.9019145802650957,0.8892804592407018,0.4132093317475477,0.8554301648898763,,0.6098901098901099,0.5834056422276327,0.6611298918685682,0.6126994486614484,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,7,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,1.8869233131408691,0.001,3.3599490000051446,0.3012998000049265,3.67953810000472,28.92199999999866,0.16502781211452033,0.16502781211452033,0.38823124488077737,0.0,0.2944382324441719,0.9484536082474226,0.9414254605579275,0.38823124638992457,0.8713314588396687,,0.5837912087912088,0.5635768445610966,0.6339667043463163,0.6103935863934107,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,8,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,2.038557767868042,0.001,3.3969004999962635,0.3268071999991662,3.744063099999039,32.84399999999732,0.10267123388831499,0.10267123388831499,0.3705802554344218,0.0,0.2261979904064198,0.9717231222385861,0.9678294915613618,0.37058025926450305,0.8840138445879724,,0.5989010989010989,0.5662019928989603,0.6271886186150368,0.6305561493714164,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,9,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,2.186159610748291,0.001,3.388485600000422,0.3110207999998238,3.718145999999251,36.73500000000058,0.07458933063828015,0.07458933063828015,0.35763851642959776,0.0,0.19380217293313046,0.9832106038291605,0.9811854227073816,0.35763851751649506,0.892968962766993,,0.5961538461538461,0.5777263629350614,0.6373918150360683,0.6228573046778256,,3395,3395,0,0
M1-s17,M1,17,COMPLETED,10,2,False,False,ONLINE_PRE_UPDATE_CURRENT_VIEW_DIAGNOSTIC_NOT_CHECKPOINT_EVALUATION,3395,2.4370956420898438,0.001,3.392378999997163,0.30311300000175834,3.713448700000299,40.625,0.052674130175882655,0.052674130175882655,0.34529638030567644,0.0,0.16777292683128053,0.987039764359352,0.9852464937528143,0.34529638298470333,0.9001942094771099,,0.5837912087912088,0.5615197730969165,0.6670361000802726,0.6059521717966493,,3395,3395,0,0
