configuration,complete,parameters,full144_inference_seconds,promotion_eligible,promotion_reasons,clean_Accuracy_mean,clean_Accuracy_seed_sd_ddof1,clean_Accuracy_seed17,clean_macro_F1_mean,clean_macro_F1_seed_sd_ddof1,clean_macro_F1_seed17,clean_MAE_mean,clean_MAE_seed_sd_ddof1,clean_MAE_seed17,clean_Pearson_mean,clean_Pearson_seed_sd_ddof1,clean_Pearson_seed17,attempted96_macro_F1_mean,attempted96_macro_F1_seed_sd_ddof1,attempted96_macro_F1_seed17,attempted96_MAE_mean,attempted96_MAE_seed_sd_ddof1,attempted96_MAE_seed17
S01-B-CAT-zscore,True,56452,27.531008300000394,False,ORIGINAL_REFERENCE,0.6346153846153846,0.0059874985488196485,0.6318681318681318,0.6018501688585941,0.003926947677581206,0.6006312138558835,0.6426265293924391,0.03100893364641659,0.6783806467575921,0.5809721732300693,0.031016324069950224,0.5457738264072373,0.5862184508718217,0.006850594788918689,0.5786508552282047,0.6545388269228222,0.03010737231277861,0.6892729794954393
W0-bN-m04,True,56452,27.531008300000394,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED;NO_STRICT_IMPROVEMENT_ABOVE_NUMERIC_TOLERANCE,0.6259157509157509,0.007930635565791535,0.6167582417582418,0.569115581216575,0.0028193293527671408,0.5714325128115157,0.6426265293924391,0.03100893364641659,0.6783806467575921,0.5809721732300693,0.031016324069950224,0.5457738264072373,0.5640469262497653,7.729769061116147e-05,0.5641027859557542,0.6545388269228222,0.03010737231277861,0.6892729794954393
W0-bN-m02,True,56452,27.531008300000394,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED;NO_STRICT_IMPROVEMENT_ABOVE_NUMERIC_TOLERANCE,0.6304945054945055,0.004120879120879106,0.6263736263736264,0.5868673758625956,0.006310127624909362,0.5896344143285188,0.6426265293924391,0.03100893364641659,0.6783806467575921,0.5809721732300693,0.031016324069950224,0.5457738264072373,0.5766146743734768,0.003985699005700594,0.572837663449904,0.6545388269228222,0.03010737231277861,0.6892729794954393
W0-bN-zero,True,56452,27.531008300000394,False,NO_STRICT_IMPROVEMENT_ABOVE_NUMERIC_TOLERANCE,0.6346153846153846,0.0059874985488196485,0.6318681318681318,0.6018501688585941,0.003926947677581206,0.6006312138558835,0.6426265293924391,0.03100893364641659,0.6783806467575921,0.5809721732300693,0.031016324069950224,0.5457738264072373,0.5862184508718217,0.006850594788918689,0.5786508552282047,0.6545388269228222,0.03010737231277861,0.6892729794954393
W0-bN-p02,True,56452,27.531008300000394,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED,0.6236263736263736,0.005987498548819585,0.6208791208791209,0.5990481872234746,0.005736281237301867,0.5949678236582537,0.6426265293924391,0.03100893364641659,0.6783806467575921,0.5809721732300693,0.031016324069950224,0.5457738264072373,0.5872737431877274,0.008167203309977297,0.5789002485225215,0.6545388269228222,0.03010737231277861,0.6892729794954393
W0-bN-p04,True,56452,27.531008300000394,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED;NO_STRICT_IMPROVEMENT_ABOVE_NUMERIC_TOLERANCE,0.613095238095238,0.012763150059309867,0.6071428571428571,0.5943143102558869,0.013889851167299953,0.5852423974058364,0.6426265293924391,0.03100893364641659,0.6783806467575921,0.5809721732300693,0.031016324069950224,0.5457738264072373,0.584370043845488,0.011175612283305672,0.5760769279589485,0.6545388269228222,0.03010737231277861,0.6892729794954393
W1-bN-m04,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED,0.6259157509157509,0.007930635565791535,0.6167582417582418,0.569115581216575,0.0028193293527671408,0.5714325128115157,0.6139217321270025,0.004132739372869209,0.6184329031512479,0.6269276186466332,0.002744819638084936,0.6250265895912972,0.5640469262497653,7.729769061116147e-05,0.5641027859557542,0.6262397245871196,0.0017792466086683457,0.6280586231450082
W1-bN-m02,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED,0.6304945054945055,0.004120879120879106,0.6263736263736264,0.5868673758625956,0.006310127624909362,0.5896344143285188,0.6139217321270025,0.004132739372869209,0.6184329031512479,0.6269276186466332,0.002744819638084936,0.6250265895912972,0.5766146743734768,0.003985699005700594,0.572837663449904,0.6262397245871196,0.0017792466086683457,0.6280586231450082
W1-bN-zero,True,105928,50.23401566666871,True,,0.6346153846153846,0.0059874985488196485,0.6318681318681318,0.6018501688585941,0.003926947677581206,0.6006312138558835,0.6139217321270025,0.004132739372869209,0.6184329031512479,0.6269276186466332,0.002744819638084936,0.6250265895912972,0.5862184508718217,0.006850594788918689,0.5786508552282047,0.6262397245871196,0.0017792466086683457,0.6280586231450082
W1-bN-p02,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED,0.6236263736263736,0.005987498548819585,0.6208791208791209,0.5990481872234746,0.005736281237301867,0.5949678236582537,0.6139217321270025,0.004132739372869209,0.6184329031512479,0.6269276186466332,0.002744819638084936,0.6250265895912972,0.5872737431877274,0.008167203309977297,0.5789002485225215,0.6262397245871196,0.0017792466086683457,0.6280586231450082
