configuration,status,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,29,0.9787660256410257,0.32268300449240306,0.8627035917085975
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,43,0.9787660256410257,0.2872311046461638,0.8125193414990121
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,17,0.9787660256410257,0.3036579188220527,0.7886258238002003
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,29,0.9787660256410257,0.3147475029216774,0.8590604005590922
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,43,0.9787660256410257,0.29134070164480036,0.8107170673840848
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,17,0.9787660256410257,0.3035036694212579,0.7895402808838824
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,29,0.9787660256410257,0.31854292577598337,0.8604777232893009
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,43,0.9787660256410257,0.2898999284536683,0.8122417168359122
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,17,0.992445054945055,0.3436511306159717,0.8731371344439529
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,29,0.992445054945055,0.3494746309971034,0.8567385895885276
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,43,0.992445054945055,0.3578125939173057,0.8849883929156538
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,17,0.9625686813186813,0.34334975678219626,0.8724448724739916
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,29,0.9625686813186813,0.34995970967965406,0.8561900487080499
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,43,0.9625686813186813,0.35807504109904703,0.8834785612043761
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,17,1.0,0.3546529236013547,0.8443088904307813
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,29,1.0,0.37336044095057375,0.8384772639663745
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,43,1.0,0.36841356707030654,0.8522815196458275
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,17,0.992445054945055,0.34422250919302133,0.8734433998613481
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,29,0.992445054945055,0.3475377634654295,0.8571431217518021
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,43,0.992445054945055,0.3579019518320673,0.8841378845018271
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,17,0.9625686813186813,0.3546529236013547,0.8443088904307813
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,29,0.9625686813186813,0.37336044095057375,0.8384772639663745
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,43,0.9625686813186813,0.36841356707030654,0.8522815196458275
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,17,0.9625686813186813,0.3546529236013547,0.8443088904307813
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,29,0.9625686813186813,0.37336044095057375,0.8384772639663745
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,43,0.9625686813186813,0.36841356707030654,0.8522815196458275
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,17,0.9809981684981685,0.3492900908556485,0.844534029268816
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,29,0.9809981684981685,0.36735957445620016,0.8391711360220923
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,43,0.9809981684981685,0.36167460597732265,0.8549719386081427
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,17,0.9809981684981685,0.3545503937912661,0.8509134701623876
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,29,0.9809981684981685,0.36177163062753664,0.8427744929094411
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,43,0.9809981684981685,0.3660996808764854,0.8619767478270197
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,17,0.9809981684981685,0.3472206486558649,0.8599086796083978
